Наименование,Цена,Ссылка
"Кровать ""Аврора""",От 49500 руб.,http://mebel-saa.ru/krovati/item/821-krovat-avrora
"Кровать ""Барселона""",От 37500 руб.,http://mebel-saa.ru/krovati/item/820-krovat-barselona
"Кровать ""Беатрис""",От 30000 руб.,http://mebel-saa.ru/krovati/item/819-krovat-beatris
"Кровать ""Валенсия""",От 29000 руб.,http://mebel-saa.ru/krovati/item/818-krovat-valensiya
"Кровать ""Вирджиния""",от 53000 руб.,http://mebel-saa.ru/krovati/item/817-krovat-virdzhiniya
"Кровать ""Герта""",От 25500 руб.,http://mebel-saa.ru/krovati/item/816-krovat-gerta
"Кровать ""Ева""",От 41000 руб.,http://mebel-saa.ru/krovati/item/815-krovat-eva
"Кровать ""Мальта""",От 44000 руб.,http://mebel-saa.ru/krovati/item/814-krovat-malta
"Кровать ""Марта""",От 31000 руб.,http://mebel-saa.ru/krovati/item/813-krovat-marta
"Кровать ""Монако""",От 38000 руб.,http://mebel-saa.ru/krovati/item/812-krovat-monako
"Кровать ""Мэри""",От 50000 руб.,http://mebel-saa.ru/krovati/item/811-krovat-meri
"Кровать ""Прадо-1""",От 52000 руб.,http://mebel-saa.ru/krovati/item/810-krovat-prado-1
"Кровать ""Рондо""",17000 руб.,http://mebel-saa.ru/krovati/item/809-krovat-rondo
"Кровать ""Сельта""",От 30000 руб.,http://mebel-saa.ru/krovati/item/808-krovat-selta
"Кровать ""Скарлетт""",От 50000 руб.,http://mebel-saa.ru/krovati/item/807-krovat-skarlet
