Наименование,Цена,Ссылка
"Журнальный стол ""Консул-1""",3500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/868-zhurnalnyj-stol-konsul-1
"Журнальный стол ""Консул-2""",2400 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/867-zhurnalnyj-stol-konsul-2
"Туалетный столик ""Галант-2""",7000 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/860-tualetnyj-stolik-galant-2
"Туалетный столик""Галант-1""",5500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/859-tualetnyj-stolik-galant-1
"Туалетный столик ""Галант-5""",6500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/852-tryumo-galant-5
"Туалетный столик ""Галант-3""",4500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/851-tryumo-galant-3
"""Вальс""",3000 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/764-vals
"""Олимп""",2500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/763-olimp
"""Люкс""",4500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/762-lyuks
"""Хилтон""",3000 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/761-khilton
"""Глобус""",3000 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/760-globus
"""Бриз""",2800 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/759-briz
"""Альянс""",3500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/758-alyans
"""Агат""",2500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/757-agat
"Стол журнальный ""Фаворит-1"" на колесиках",2500 руб.,http://mebel-saa.ru/zhurnalnye-stoliki/item/671-stol-zhurnalnyj-favorit-1-na-kolesikakh
