Наименование,Цена,Ссылка
"Двухъярусная кровать ""Hostel""",От 10500 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/665-dvukh-yarusnaya-krovat-hostel
"Кровать ""Transformer 3""",От 10500 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/664-krovat-transformer-3
"Двухъярусная кровать ""Transformer 2""",От 10500 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/663-dvukh-yarusnaya-krovat-transformer-2
"Двухъярусная кровать ""Чердак""",8800 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/662-dvukh-yarusnaya-krovat-cherdak
"Кровать ""Twist""",11500 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/661-krovat-twist
"Кровать ""Salsa-2""",8500 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/660-krovat-salsa-2
"Кровать ""Salsa""",От 6100 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/659-krovat-salsa
"Кровать ""Rumba-2""",От 7600 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/658-krovat-rumba-2
"Кровать ""Rumba""",От 5100 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/657-krovat-rumba
"Кровать ""Modern-2""",От 7100 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/656-krovat-modern-2
"Кровать ""Modern-1""",От 7900 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/655-krovat-modern-1
"Кровать ""Malasya-3 Plus""",12000 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/654-krovat-malasya-3-plus
"Кровать ""Jazz""",От 5000 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/653-krovat-jazz
"Кровать ""Flamenco""",От 8300 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/652-krovat-flamenco
"Кровать ""Butterfly""",От 8500 руб.,http://mebel-saa.ru/metalicheskie-krovati/item/651-krovat-butterfly
