Наименование,Цена,Ссылка
"""Монако"" ясень/капучино",25000 руб.,http://mebel-saa.ru/gostinye/item/865-monako-yasen-kapuchino
"""Виго"" венге/белый глянец",34000 руб.,http://mebel-saa.ru/gostinye/item/864-vigo-venge-belyj-glyanets
"""Верона"" венге",19000 руб.,http://mebel-saa.ru/gostinye/item/638-verona-venge-dub
"""Талин"" белый/дуб золотой",17000 руб.,http://mebel-saa.ru/gostinye/item/637-talin-belyj-dub-zolotoj
"""Рио"" кантер/сонома",11000 руб.,http://mebel-saa.ru/gostinye/item/636-rio-kanter-sonoma
"""Пекин"" дуб золотой/белый",12000 руб.,http://mebel-saa.ru/gostinye/item/635-pekin-dub-zolotoj-belyj
"""Пекин"" венге/дуб",11000 руб.,http://mebel-saa.ru/gostinye/item/634-pekin-venge-dub
"""Милан"" кантер/сонома",19000 руб.,http://mebel-saa.ru/gostinye/item/633-milan-kanter-sonoma
"""Марсель"" МДФ сонома/белый глянец",24000 руб.,http://mebel-saa.ru/gostinye/item/632-marsel-mdf-sonoma-belyj-glyanets
"""Марсель"" МДФ венге/белый глянец",24000 руб.,http://mebel-saa.ru/gostinye/item/631-marsel-mdf-venge-belyj-glyanets
"""Макарена"" МДФ венге/дуб МДФ",29000 руб.,http://mebel-saa.ru/gostinye/item/630-makarena-mdf-venge-dub-mdf
"""Лима"" венге/дуб",8000 руб.,http://mebel-saa.ru/gostinye/item/628-lima-venge-dub
"""Лима"" дуб золотой/белый",8000 руб.,http://mebel-saa.ru/gostinye/item/627-lima-dub-zolotoj-belyj
"""Коста"" МДФ венге/белый глянец",34000 руб.,http://mebel-saa.ru/gostinye/item/626-kosta-mdf-venge-belyj-glyanets
"""Капри"" венге/дуб",17000 руб.,http://mebel-saa.ru/gostinye/item/625-kapri-venge-dub
