Наименование,Цена,Ссылка
"Стол ""Ломберный"" 80х60",4100 руб.,http://mebel-saa.ru/stoly-i-stulya/item/853-stol-lombernyj-80kh60
"Кресло-мешок ""GoodPoof""",3600 руб.,http://mebel-saa.ru/stoly-i-stulya/item/799-kreslo-meshok-goodpoof
"Стул ""Атлант""",10000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/779-atlant
"Стол ""Европейский"" закал. стекло",8000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/771-stol-evropejskij-zakal-steklo
"Стол ""Ломберный"" 60х60",4000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/770-stol-lombernyj
"Стол ""Универсальный"" раздвижной",6000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/769-stol-universalnyj-razdvizhnoj
"Стол ""Европейский"" раздвижной",6000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/768-stol-evropejskij-razdvizhnoj
"Стулья ""Ракип""",От 3000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/767-stulya-rakip
"Стол ""Ракип"" венге 1600х1000мм",21000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/766-stol-rakip-venge-1600kh1000mm
"Комплект ""Ракип"" венге",37000 руб.,http://mebel-saa.ru/stoly-i-stulya/item/765-komplekt-rakip-venge
