Наименование,Цена,Ссылка
"Кровать ""Лёсики""",17000 руб.,http://mebel-saa.ru/destkie/item/798-krovat-ljosiki
"Детский диван ""Колобок""",7500 руб.,http://mebel-saa.ru/destkie/item/748-detskij-divan-kolobok
"Детский диван ""Нильс""",12000 руб.,http://mebel-saa.ru/destkie/item/747-detskij-divan-nils
"Кровать ""Тошка""",14000 руб.,http://mebel-saa.ru/destkie/item/649-krovat-toshka
"Кровать ""Стрелка""",14000 руб.,http://mebel-saa.ru/destkie/item/648-krovat-strelka
"Кровать ""Рокси""",14000 руб.,http://mebel-saa.ru/destkie/item/647-krovat-roksi
"Кровать ""Нимфа""",11000 руб.,http://mebel-saa.ru/destkie/item/646-krovat-nimfa
"Кровать ""Кузя""",14500 руб.,http://mebel-saa.ru/destkie/item/645-krovat-kuzya
"Кровать ""Кроха""",6500 руб.,http://mebel-saa.ru/destkie/item/644-krovat-krokha
"Кровать ""Жемчужина""",15500 руб.,http://mebel-saa.ru/destkie/item/643-krovat-zhemchuzhina
"Кровать ""Гномик""",9500 руб.,http://mebel-saa.ru/destkie/item/642-krovat-gnomik
"Кровать ""Фея""",14000 руб.,http://mebel-saa.ru/destkie/item/641-krovat-feya
"Кровать ""Бокс""",9000 руб.,http://mebel-saa.ru/destkie/item/640-krovat-boks
"Кровать ""Башмачок""",17000 руб.,http://mebel-saa.ru/destkie/item/639-krovat-bashmachok
